Baseline,Transect,Total Hits,Hit by loc,Location,prop broine,prop phaaru,prop elyrep,prop conarv,prop cirarv,prop dacglo,prop caremo,prop rha cat,prop symlan,prop taroff,prop scharu,prop syocc,prop salexi,prop medsat,prop typang,prop ulmpum,prop brotec
B7,B7-0,33,12,middle,0.00,0.00,0.08,0.08,0.00,0.08,0.00,0.00,0.25,0.00,0.08,0.00,0.00,0.00,0.00,0.42,0.00
B7,B7-0,33,16,upper ,0.00,0.00,0.19,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-12.5,22,1,lower,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-12.5,22,4,middle,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-12.5,22,17,upper ,0.00,0.00,0.76,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-25,29,4,lower,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-25,29,9,middle,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-25,29,16,upper ,0.63,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-37.5,33,5,lower,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-37.5,33,11,middle,0.09,0.00,0.27,0.00,0.00,0.18,0.00,0.00,0.00,0.18,0.18,0.00,0.00,0.09,0.00,0.00,0.00
B7,B7-37.5,33,17,upper ,0.00,0.00,0.18,0.00,0.00,0.24,0.00,0.00,0.00,0.06,0.53,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-50,18,2,lower,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B7,B7-50,18,2,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
B7,B7-50,18,14,upper ,0.00,0.00,0.07,0.07,0.00,0.36,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
